logged_at,event_type,shop_id,shop_name,actor_user_id,actor_name,invoice_id,invoice_number,source,product_id,product_name_snapshot,barcode,quantity,unit_price,line_total,invoice_total,payment_mode,payment_details
2026-07-13T14:25:31+05:30,invoice.finalized,1,Shop S1,3,Cashier Das,13,13,checkout,2,Paper Boat - Coconut 270ml,8906080604690,10,20.00,200.00,998.00,upi + cash split,"[{""amount"": ""98.00"", ""mode"": ""upi""}, {""amount"": ""900.00"", ""mode"": ""cash""}]"
2026-07-13T14:25:31+05:30,invoice.finalized,1,Shop S1,3,Cashier Das,13,13,checkout,4,Magnesium Glycinate - Tata 1mg 60tabs,8906151142656,2,399.00,798.00,998.00,upi + cash split,"[{""amount"": ""98.00"", ""mode"": ""upi""}, {""amount"": ""900.00"", ""mode"": ""cash""}]"
2026-07-13T14:28:09+05:30,invoice.finalized,1,Shop S1,3,Cashier Das,14,14,checkout,3,Ambipur Lavendar 275ml,4987176236340,1,270.00,270.00,270.00,cash,"[{""amount"": ""270.00"", ""mode"": ""cash""}]"
2026-07-13T14:28:16+05:30,invoice.finalized,1,Shop S1,3,Cashier Das,15,15,checkout,2,Paper Boat - Coconut 270ml,8906080604690,4,20.00,80.00,620.00,card,"[{""amount"": ""620.00"", ""mode"": ""card""}]"
2026-07-13T14:28:16+05:30,invoice.finalized,1,Shop S1,3,Cashier Das,15,15,checkout,3,Ambipur Lavendar 275ml,4987176236340,2,270.00,540.00,620.00,card,"[{""amount"": ""620.00"", ""mode"": ""card""}]"
2026-07-13T14:32:16+05:30,invoice.finalized,,,3,,16,16,offline_session_sync,2,unknown product,,1,20.00,20.00,20.00,cash,"[{""amount"": ""20.00"", ""mode"": ""cash""}]"
2026-07-13T14:33:19+05:30,invoice.finalized,,,3,,17,17,offline_session_sync,2,unknown product,,1,20.00,20.00,20.00,cash,"[{""amount"": ""20.00"", ""mode"": ""cash""}]"
2026-07-13T14:35:02+05:30,invoice.finalized,1,Shop S1,3,Cashier Das,18,18,checkout,1,Paper Boat - Pomogranate 270ml,8906080603914,80,20.00,1600.00,1600.00,cash,"[{""amount"": ""1600.00"", ""mode"": ""cash""}]"
2026-07-13T14:42:25+05:30,invoice.finalized,1,Shop S1,2,Shop Owner,19,19,checkout,2,Paper Boat - Coconut 270ml,8906080604690,1,20.00,20.00,20.00,cash,"[{""amount"": ""20.00"", ""mode"": ""cash""}]"
2026-07-13T22:01:09+05:30,invoice.finalized,1,Shop One,3,Cashier One,1,1,checkout,1,Test 750ml,8901000000001,2,100.00,200.00,200.00,cash,"[{""amount"": ""200.00"", ""mode"": ""cash""}]"
2026-07-13T22:01:19+05:30,invoice.finalized,1,Shop One,3,Cashier One,1,1,checkout,1,Test 750ml,8901000000002,1,100.00,100.00,600.00,upi,"[{""amount"": ""600.00"", ""mode"": ""upi""}]"
2026-07-13T22:01:19+05:30,invoice.finalized,1,Shop One,3,Cashier One,1,1,checkout,2,Test 750ml,8901000000003,2,250.00,500.00,600.00,upi,"[{""amount"": ""600.00"", ""mode"": ""upi""}]"
2026-07-13T22:01:30+05:30,invoice.finalized,1,Shop One,3,Cashier One,1,1,checkout,1,Test 750ml,8901000000004,1,500.00,500.00,500.00,cash + upi split,"[{""amount"": ""200.00"", ""mode"": ""cash""}, {""amount"": ""300.00"", ""mode"": ""upi""}]"
