[2026-07-13T14:25:31+05:30] Checkout finalized for Shop S1; invoice #13 (id 13) by Cashier Das (user #3); total Rs. 998.00; payment mode upi + cash split; payments: upi Rs. 98.00, cash Rs. 900.00; lines: Paper Boat - Coconut 270ml x 10 at Rs. 20.00, Magnesium Glycinate - Tata 1mg 60tabs x 2 at Rs. 399.00.
[2026-07-13T14:28:09+05:30] Checkout finalized for Shop S1; invoice #14 (id 14) by Cashier Das (user #3); total Rs. 270.00; payment mode cash; payments: cash Rs. 270.00; lines: Ambipur Lavendar 275ml x 1 at Rs. 270.00.
[2026-07-13T14:28:16+05:30] Checkout finalized for Shop S1; invoice #15 (id 15) by Cashier Das (user #3); total Rs. 620.00; payment mode card; payments: card Rs. 620.00; lines: Paper Boat - Coconut 270ml x 4 at Rs. 20.00, Ambipur Lavendar 275ml x 2 at Rs. 270.00.
[2026-07-13T14:32:16+05:30] Offline sync created invoice for shop #unknown; invoice #16 (id 16) by user #3; total Rs. 20.00; payment mode cash; payments: cash Rs. 20.00; lines: unknown product x 1 at Rs. 20.00.
[2026-07-13T14:33:19+05:30] Offline sync created invoice for shop #unknown; invoice #17 (id 17) by user #3; total Rs. 20.00; payment mode cash; payments: cash Rs. 20.00; lines: unknown product x 1 at Rs. 20.00.
[2026-07-13T14:35:02+05:30] Checkout finalized for Shop S1; invoice #18 (id 18) by Cashier Das (user #3); total Rs. 1600.00; payment mode cash; payments: cash Rs. 1600.00; lines: Paper Boat - Pomogranate 270ml x 80 at Rs. 20.00.
[2026-07-13T14:42:25+05:30] Checkout finalized for Shop S1; invoice #19 (id 19) by Shop Owner (user #2); total Rs. 20.00; payment mode cash; payments: cash Rs. 20.00; lines: Paper Boat - Coconut 270ml x 1 at Rs. 20.00.
[2026-07-13T22:01:09+05:30] Checkout finalized for Shop One; invoice #1 (id 1) by Cashier One (user #3); total Rs. 200.00; payment mode cash; payments: cash Rs. 200.00; lines: Test 750ml x 2 at Rs. 100.00.
[2026-07-13T22:01:19+05:30] Checkout finalized for Shop One; invoice #1 (id 1) by Cashier One (user #3); total Rs. 600.00; payment mode upi; payments: upi Rs. 600.00; lines: Test 750ml x 1 at Rs. 100.00, Test 750ml x 2 at Rs. 250.00.
[2026-07-13T22:01:30+05:30] Checkout finalized for Shop One; invoice #1 (id 1) by Cashier One (user #3); total Rs. 500.00; payment mode cash + upi split; payments: cash Rs. 200.00, upi Rs. 300.00; lines: Test 750ml x 1 at Rs. 500.00.
[2026-07-13T22:02:11+05:30] Checkout finalized for Shop One; invoice #1 (id 1) by Cashier One (user #3); total Rs. 100.00; payment mode cash; payments: cash Rs. 100.00; lines: Test 750ml x 1 at Rs. 100.00.
