[2026-07-16T12:54:27+05:30] EOD sign-off completed for 2026-07-14 by owner test (user #6); invoice count 1; revenue Rs. 20.00; payment split: cash Rs. 20.00; voided invoices 0; reversal invoices 0; archived/signed off 14 invoices.
[2026-07-16T13:28:56+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 2; revenue Rs. 300.00; payment split: cash Rs. 100.00, upi Rs. 200.00; voided invoices 0; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-16T13:29:03+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-16T13:29:16+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T13:29:24+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 2; revenue Rs. 200.00; payment split: cash Rs. 100.00, upi Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-16T13:29:38+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 1; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-16T13:29:57+05:30] EOD sign-off completed for 2026-07-13 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T13:30:11+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T13:30:12+05:30] EOD sign-off completed for 2026-07-15 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-16T13:30:19+05:30] EOD sign-off completed for 2026-07-13 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T13:30:20+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 200.00; payment split: upi Rs. 200.00; voided invoices 0; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-16T13:30:26+05:30] EOD sign-off completed for 2026-07-13 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T13:30:37+05:30] EOD sign-off completed for 2026-07-15 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T13:30:39+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-16T13:30:45+05:30] EOD sign-off completed for 2026-07-11 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T13:30:45+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T13:30:47+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-16T13:30:54+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-16T13:31:25+05:30] EOD sign-off completed for 2026-07-15 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T13:31:28+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-16T13:31:33+05:30] EOD sign-off completed for 2026-07-11 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T13:31:34+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T13:31:36+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-16T13:31:42+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-16T13:31:50+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-16T13:31:56+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T13:32:01+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T13:32:39+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 2; revenue Rs. 300.00; payment split: cash Rs. 100.00, upi Rs. 200.00; voided invoices 0; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-16T13:32:45+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-16T13:32:57+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T13:33:05+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 2; revenue Rs. 200.00; payment split: cash Rs. 100.00, upi Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-16T13:33:18+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 1; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-16T13:33:38+05:30] EOD sign-off completed for 2026-07-13 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T13:33:52+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T13:33:53+05:30] EOD sign-off completed for 2026-07-15 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-16T13:33:59+05:30] EOD sign-off completed for 2026-07-13 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T13:34:01+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 200.00; payment split: upi Rs. 200.00; voided invoices 0; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-16T13:34:07+05:30] EOD sign-off completed for 2026-07-13 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T13:34:17+05:30] EOD sign-off completed for 2026-07-15 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T13:34:19+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-16T13:34:24+05:30] EOD sign-off completed for 2026-07-11 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T13:34:24+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T13:34:26+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-16T13:34:32+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-16T13:34:41+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-16T13:34:46+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T13:34:51+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T13:35:12+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-16T13:35:20+05:30] EOD sign-off completed for 2026-07-16 by Root (user #4); invoice count 1; revenue Rs. 100.00; payment split: card Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-16T17:21:29+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 2; revenue Rs. 300.00; payment split: cash Rs. 100.00, upi Rs. 200.00; voided invoices 0; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-16T17:21:36+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-16T17:21:51+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T17:21:58+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 2; revenue Rs. 200.00; payment split: cash Rs. 100.00, upi Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-16T17:22:12+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 1; reversal invoices 0; archived/signed off 2 invoices.
