[2026-07-17T14:55:39+05:30] EOD sign-off completed for 2026-07-17 by Owner One (user #1); invoice count 2; revenue Rs. 300.00; payment split: cash Rs. 100.00, upi Rs. 200.00; voided invoices 0; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-17T14:55:45+05:30] EOD sign-off completed for 2026-07-17 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-17T14:55:57+05:30] EOD sign-off completed for 2026-07-17 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-17T14:56:04+05:30] EOD sign-off completed for 2026-07-17 by Owner One (user #1); invoice count 2; revenue Rs. 200.00; payment split: cash Rs. 100.00, upi Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-17T14:56:16+05:30] EOD sign-off completed for 2026-07-17 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 1; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-17T14:56:33+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-17T14:56:45+05:30] EOD sign-off completed for 2026-07-15 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-17T14:56:46+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-17T14:56:51+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-17T14:56:52+05:30] EOD sign-off completed for 2026-07-17 by Owner One (user #1); invoice count 1; revenue Rs. 200.00; payment split: upi Rs. 200.00; voided invoices 0; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-17T14:56:57+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-17T14:57:06+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-17T14:57:07+05:30] EOD sign-off completed for 2026-07-17 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-17T14:57:11+05:30] EOD sign-off completed for 2026-07-12 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-17T14:57:12+05:30] EOD sign-off completed for 2026-07-15 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-17T14:57:13+05:30] EOD sign-off completed for 2026-07-17 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-17T14:57:20+05:30] EOD sign-off completed for 2026-07-17 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-17T14:57:27+05:30] EOD sign-off completed for 2026-07-17 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-17T14:57:51+05:30] EOD sign-off completed for 2026-07-17 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-17T14:57:59+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-17T14:58:01+05:30] EOD sign-off completed for 2026-07-17 by Owner One (user #1); invoice count 1; revenue Rs. 200.00; payment split: upi Rs. 200.00; voided invoices 0; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-17T14:58:09+05:30] EOD sign-off completed for 2026-07-17 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: card Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-17T15:01:48+05:30] EOD sign-off completed for 2026-07-17 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-17T15:01:53+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-17T15:01:55+05:30] EOD sign-off completed for 2026-07-17 by Owner One (user #1); invoice count 1; revenue Rs. 200.00; payment split: upi Rs. 200.00; voided invoices 0; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-17T15:02:01+05:30] EOD sign-off completed for 2026-07-17 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: card Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
