[2026-07-13T14:04:00+05:30] Receiving lot #11 for Shop S1 by receiver swain (user #4); reference no reference; notes no notes; products received: Ambipur Lavendar 275ml x 10 at Rs. 270.00, row total Rs. 2700.00, Paper Boat - Pomogranate 270ml x 25 at Rs. 20.00, row total Rs. 500.00, Paper Boat - Coconut 270ml x 30 at Rs. 20.00, row total Rs. 600.00.
[2026-07-13T14:10:33+05:30] Receiving lot #12 for Shop S1 by receiver swain (user #4); reference no reference; notes no notes; products received: Fevicol MR Tube 105 x 100 at Rs. unavailable, row total Rs. unavailable.
[2026-07-13T21:48:24+05:30] Receiving lot #1 for Shop One from Heritage Supply by Receiver One (user #2); purchase date 2026-07-13; vendor invoice A-1; invoice value Rs. 100.00; reference no reference; notes no notes; products received: Retail 750ml x 2 (good 2, breakage 0) at Rs. 100.00, row total Rs. 200.00.
[2026-07-13T21:49:15+05:30] Receiving lot #1 for Shop One from Acme Distributors by Receiver One (user #2); purchase date 2026-07-13; vendor invoice INV-99; invoice value Rs. 1234.50; reference no reference; notes no notes; products received: Gold Label 750ml x 10 (good 8, breakage 2) at Rs. 100.00, row total Rs. 1000.00.
[2026-07-13T21:52:30+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference INV-2026-001; notes Friday morning delivery; products received: Test 750ml x 12 (good 12, breakage 0) at Rs. 100.00, row total Rs. 1200.00.
[2026-07-13T21:52:38+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Royal Stag 750ml x 6 (good 6, breakage 0) at Rs. 100.00, row total Rs. 600.00, Blenders Pride 750ml x 3 (good 3, breakage 0) at Rs. 100.00, row total Rs. 300.00, Kingfisher 750ml x 24 (good 24, breakage 0) at Rs. 100.00, row total Rs. 2400.00.
[2026-07-13T21:52:50+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 1 (good 1, breakage 0) at Rs. 100.00, row total Rs. 100.00.
[2026-07-13T21:53:22+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 4 (good 4, breakage 0) at Rs. 100.00, row total Rs. 400.00.
[2026-07-13T21:53:30+05:30] Receiving lot #1 for Shop One from Acme Distributors by Receiver One (user #2); purchase date 2026-07-13; vendor invoice INV-99; invoice value Rs. 1234.50; reference no reference; notes no notes; products received: Gold Label 750ml x 10 (good 8, breakage 2) at Rs. 100.00, row total Rs. 1000.00.
[2026-07-13T21:53:38+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 7 (good 7, breakage 0) at Rs. 100.00, row total Rs. 700.00, B 750ml x 2 (good 2, breakage 0) at Rs. 100.00, row total Rs. 200.00.
[2026-07-13T21:53:46+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference FIRST; notes no notes; products received: Test 750ml x 1 (good 1, breakage 0) at Rs. 100.00, row total Rs. 100.00.
[2026-07-13T21:53:47+05:30] Receiving lot #2 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference SECOND; notes no notes; products received: Test 750ml x 1 (good 1, breakage 0) at Rs. 100.00, row total Rs. 100.00.
[2026-07-13T21:53:55+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 3 (good 3, breakage 0) at Rs. 100.00, row total Rs. 300.00.
[2026-07-13T21:55:01+05:30] Receiving lot #1 for Shop One from Heritage Supply by Receiver One (user #2); purchase date 2026-07-13; vendor invoice A-1; invoice value Rs. 100.00; reference no reference; notes no notes; products received: Retail 750ml x 2 (good 2, breakage 0) at Rs. 100.00, row total Rs. 200.00.
[2026-07-13T22:01:08+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-13T22:01:18+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00, Test 750ml x 5 (good 5, breakage 0) at Rs. 250.00, row total Rs. 1250.00.
[2026-07-13T22:01:29+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 5 (good 5, breakage 0) at Rs. 500.00, row total Rs. 2500.00.
[2026-07-13T22:01:40+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-13T22:01:50+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 3 (good 3, breakage 0) at Rs. 100.00, row total Rs. 300.00.
[2026-07-13T22:02:00+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-13T22:02:10+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-13T22:02:22+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-13T22:02:31+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 1 (good 1, breakage 0) at Rs. 100.00, row total Rs. 100.00.
[2026-07-13T22:02:49+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 5 (good 5, breakage 0) at Rs. 50.00, row total Rs. 250.00.
[2026-07-13T22:02:59+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-13T22:03:11+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-13T22:03:22+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-13T22:03:33+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-13T22:04:24+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-13T22:04:35+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00, Test 750ml x 5 (good 5, breakage 0) at Rs. 250.00, row total Rs. 1250.00.
[2026-07-13T22:04:45+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 5 (good 5, breakage 0) at Rs. 500.00, row total Rs. 2500.00.
