logged_at,event_type,shop_id,shop_name,actor_user_id,actor_name,lot_id,vendor_id,vendor_name,vendor_gstin,purchase_date,vendor_invoice_number,invoice_value,reference,notes,product_id,product_name_snapshot,barcode,quantity,good_condition_quantity,breakage_quantity,current_price,row_total
2026-07-14T17:26:24+05:30,lot.received,1,Shop One,2,Receiver One,1,1,Vendor One,,2026-07-14,TEST-INVOICE,0.00,,,1,X 750ml,8908000000001,2,2,0,100.00,200.00
2026-07-14T17:26:29+05:30,lot.received,1,Shop One,2,Receiver One,1,1,Vendor One,,2026-07-14,TEST-INVOICE,0.00,,,1,X 750ml,8908000000002,2,2,0,100.00,200.00
2026-07-14T17:26:33+05:30,lot.received,1,Shop One,2,Receiver One,1,1,Vendor One,,2026-07-14,TEST-INVOICE,0.00,,,1,X 750ml,8908000000003,2,2,0,100.00,200.00
2026-07-14T17:26:37+05:30,lot.received,1,Shop One,2,Receiver One,1,1,Vendor One,,2026-07-14,TEST-INVOICE,0.00,,,1,X 750ml,8908000000004,2,2,0,100.00,200.00
2026-07-14T17:28:32+05:30,lot.received,1,Shop One,2,Receiver One,1,1,Vendor One,,2026-07-14,TEST-INVOICE,0.00,,,1,X 750ml,8908000000001,2,2,0,100.00,200.00
2026-07-14T17:28:36+05:30,lot.received,1,Shop One,2,Receiver One,1,1,Vendor One,,2026-07-14,TEST-INVOICE,0.00,,,1,X 750ml,8908000000002,2,2,0,100.00,200.00
2026-07-14T17:28:41+05:30,lot.received,1,Shop One,2,Receiver One,1,1,Vendor One,,2026-07-14,TEST-INVOICE,0.00,,,1,X 750ml,8908000000003,2,2,0,100.00,200.00
2026-07-14T17:28:45+05:30,lot.received,1,Shop One,2,Receiver One,1,1,Vendor One,,2026-07-14,TEST-INVOICE,0.00,,,1,X 750ml,8908000000004,2,2,0,100.00,200.00
2026-07-14T17:28:50+05:30,lot.received,1,Test Liquor Corner,2,Receiver One,1,1,Vendor One,,2026-07-14,TEST-INVOICE,0.00,,,1,X 750ml,8908000000005,2,2,0,100.00,200.00
2026-07-14T17:28:54+05:30,lot.received,1,Shop One,2,Receiver One,1,1,Vendor One,,2026-07-14,TEST-INVOICE,0.00,INV-2026-001,Friday morning delivery,1,Test 750ml,8901234567890,12,12,0,100.00,1200.00
2026-07-14T17:28:58+05:30,lot.received,1,Shop One,2,Receiver One,1,1,Vendor One,,2026-07-14,TEST-INVOICE,0.00,,,1,Royal Stag 750ml,8900000000001,6,6,0,100.00,600.00
2026-07-14T17:28:58+05:30,lot.received,1,Shop One,2,Receiver One,1,1,Vendor One,,2026-07-14,TEST-INVOICE,0.00,,,2,Blenders Pride 750ml,8900000000002,3,3,0,100.00,300.00
2026-07-14T17:28:58+05:30,lot.received,1,Shop One,2,Receiver One,1,1,Vendor One,,2026-07-14,TEST-INVOICE,0.00,,,3,Kingfisher 750ml,8900000000003,24,24,0,100.00,2400.00
2026-07-14T17:29:04+05:30,lot.received,1,Shop One,1,Owner One,1,1,Vendor One,,2026-07-14,TEST-INVOICE,0.00,,,1,Test 750ml,8900000000004,1,1,0,100.00,100.00
2026-07-14T17:29:20+05:30,lot.received,1,Shop One,2,Receiver One,1,1,Vendor One,,2026-07-14,TEST-INVOICE,0.00,,,1,Test 750ml,8900000000008,4,4,0,100.00,400.00
2026-07-14T17:29:24+05:30,lot.received,1,Shop One,2,Receiver One,1,3,Acme Distributors,21ABCDE1234F1Z5,2026-07-13,INV-99,1234.50,,,1,Gold Label 750ml,8911111111111,10,8,2,100.00,1000.00
2026-07-14T17:29:28+05:30,lot.received,1,Shop One,2,Receiver One,1,,Vendor link disabled,,2026-07-14,AUTO-RECEIPT,0.00,AUTO-LOT,No vendor prompt,1,No Vendor Link 750ml,8922222222222,5,5,0,100.00,500.00
2026-07-14T17:29:32+05:30,lot.received,1,Shop One,2,Receiver One,1,1,Vendor One,,2026-07-14,TEST-INVOICE,0.00,,,1,Test 750ml,8900000000009,7,7,0,100.00,700.00
2026-07-14T17:29:32+05:30,lot.received,1,Shop One,2,Receiver One,1,1,Vendor One,,2026-07-14,TEST-INVOICE,0.00,,,2,B 750ml,8900000000010,2,2,0,100.00,200.00
2026-07-14T17:29:36+05:30,lot.received,1,Shop One,2,Receiver One,1,1,Vendor One,,2026-07-14,TEST-INVOICE,0.00,FIRST,,1,Test 750ml,8900000000011,1,1,0,100.00,100.00
2026-07-14T17:29:36+05:30,lot.received,1,Shop One,2,Receiver One,2,1,Vendor One,,2026-07-14,TEST-INVOICE,0.00,SECOND,,2,Test 750ml,8900000000012,1,1,0,100.00,100.00
2026-07-14T17:29:40+05:30,lot.received,1,Shop One,2,Receiver One,1,1,Vendor One,,2026-07-14,TEST-INVOICE,0.00,,,1,Test 750ml,8900000000013,3,3,0,100.00,300.00
2026-07-14T17:33:14+05:30,lot.received,1,Shop One,2,Receiver One,1,1,Vendor One,,2026-07-14,TEST-INVOICE,0.00,,,1,X 750ml,8908000000001,2,2,0,100.00,200.00
2026-07-14T17:33:18+05:30,lot.received,1,Shop One,2,Receiver One,1,1,Vendor One,,2026-07-14,TEST-INVOICE,0.00,,,1,X 750ml,8908000000002,2,2,0,100.00,200.00
2026-07-14T17:33:23+05:30,lot.received,1,Shop One,2,Receiver One,1,1,Vendor One,,2026-07-14,TEST-INVOICE,0.00,,,1,X 750ml,8908000000003,2,2,0,100.00,200.00
2026-07-14T17:33:27+05:30,lot.received,1,Shop One,2,Receiver One,1,1,Vendor One,,2026-07-14,TEST-INVOICE,0.00,,,1,X 750ml,8908000000004,2,2,0,100.00,200.00
2026-07-14T17:33:32+05:30,lot.received,1,Test Liquor Corner,2,Receiver One,1,1,Vendor One,,2026-07-14,TEST-INVOICE,0.00,,,1,X 750ml,8908000000005,2,2,0,100.00,200.00
2026-07-14T17:33:37+05:30,lot.received,1,Shop One,2,Receiver One,1,1,Vendor One,,2026-07-14,TEST-INVOICE,0.00,INV-2026-001,Friday morning delivery,1,Test 750ml,8901234567890,12,12,0,100.00,1200.00
2026-07-14T17:33:41+05:30,lot.received,1,Shop One,2,Receiver One,1,1,Vendor One,,2026-07-14,TEST-INVOICE,0.00,,,1,Royal Stag 750ml,8900000000001,6,6,0,100.00,600.00
2026-07-14T17:33:41+05:30,lot.received,1,Shop One,2,Receiver One,1,1,Vendor One,,2026-07-14,TEST-INVOICE,0.00,,,2,Blenders Pride 750ml,8900000000002,3,3,0,100.00,300.00
