[2026-07-15T16:57:41+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Copy Brand 750ml x 5 (good 5, breakage 0) at Rs. 123.45, row total Rs. 617.25.
[2026-07-15T20:02:16+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-15T20:02:25+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-15T20:02:38+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-15T20:02:44+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-15T20:02:50+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-15T20:02:58+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-15T20:03:06+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-15T20:03:13+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-15T20:03:20+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 10 (good 10, breakage 0) at Rs. 100.00, row total Rs. 1000.00.
[2026-07-15T20:03:27+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 10 (good 10, breakage 0) at Rs. 100.00, row total Rs. 1000.00.
