[2026-07-16T13:28:55+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T13:29:01+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T13:29:16+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T13:29:22+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T13:29:29+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T13:29:36+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T13:29:43+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T13:29:50+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T13:29:57+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 10 (good 10, breakage 0) at Rs. 100.00, row total Rs. 1000.00.
[2026-07-16T13:30:04+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 10 (good 10, breakage 0) at Rs. 100.00, row total Rs. 1000.00.
[2026-07-16T13:30:11+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 10 (good 10, breakage 0) at Rs. 100.00, row total Rs. 1000.00.
[2026-07-16T13:30:18+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 10 (good 10, breakage 0) at Rs. 100.00, row total Rs. 1000.00.
[2026-07-16T13:30:26+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 10 (good 10, breakage 0) at Rs. 100.00, row total Rs. 1000.00.
[2026-07-16T13:30:38+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T13:30:46+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T13:30:53+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T13:31:27+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T13:31:35+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T13:31:41+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T13:31:49+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T13:32:37+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T13:32:44+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T13:32:57+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T13:33:03+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T13:33:10+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T13:33:16+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T13:33:24+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T13:33:30+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T13:33:37+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 10 (good 10, breakage 0) at Rs. 100.00, row total Rs. 1000.00.
[2026-07-16T13:33:44+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 10 (good 10, breakage 0) at Rs. 100.00, row total Rs. 1000.00.
[2026-07-16T13:33:51+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 10 (good 10, breakage 0) at Rs. 100.00, row total Rs. 1000.00.
[2026-07-16T13:33:59+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 10 (good 10, breakage 0) at Rs. 100.00, row total Rs. 1000.00.
[2026-07-16T13:34:06+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 10 (good 10, breakage 0) at Rs. 100.00, row total Rs. 1000.00.
[2026-07-16T13:34:18+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T13:34:25+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T13:34:31+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T13:34:40+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T13:34:56+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T13:35:04+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T13:35:11+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T13:35:19+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T13:35:25+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T17:21:27+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T17:21:35+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T17:21:50+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T17:21:57+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T17:22:04+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T17:22:10+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T17:22:17+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T17:22:24+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T17:22:29+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 10 (good 10, breakage 0) at Rs. 100.00, row total Rs. 1000.00.
[2026-07-16T17:22:35+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 10 (good 10, breakage 0) at Rs. 100.00, row total Rs. 1000.00.
[2026-07-16T17:22:40+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 10 (good 10, breakage 0) at Rs. 100.00, row total Rs. 1000.00.
[2026-07-16T17:22:47+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 10 (good 10, breakage 0) at Rs. 100.00, row total Rs. 1000.00.
[2026-07-16T17:22:53+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 10 (good 10, breakage 0) at Rs. 100.00, row total Rs. 1000.00.
[2026-07-16T17:23:03+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T17:23:09+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T17:23:15+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T17:23:22+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T17:23:44+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T17:23:44+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T17:23:51+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T17:23:52+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T17:23:58+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T17:23:59+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T17:24:09+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T17:24:16+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T17:35:52+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T17:35:59+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T17:36:05+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T17:36:15+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T17:36:21+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 20 (good 20, breakage 0) at Rs. 100.00, row total Rs. 2000.00.
[2026-07-16T17:36:27+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T17:37:27+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T17:37:34+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T17:37:40+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T17:37:52+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-16T17:37:59+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-16; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 20 (good 20, breakage 0) at Rs. 100.00, row total Rs. 2000.00.
